Method,Param RMSE,Traj MSE,Energy Drift,g,L,c
No Passivity,0.1809926011605724,0.10660005934992109,0.0011260343,10.079291343688965,1.0471900701522827,0.20339567959308624
With Passivity,1.0969343876445612,0.10725210485084061,0.0055697653,9.859943389892578,1.0905392169952393,1.9471303224563599
