Model,g,L,c
0,9.824247360229492,1.2165675163269043,0.33089345693588257
1,10.028586387634277,1.0810452699661255,0.06936901807785034
2,10.02446174621582,1.0841375589370728,0.08352909237146378
3,9.853425979614258,1.197381854057312,2.079712390899658
4,9.948287010192871,1.1347943544387817,0.10284338891506195
5,9.937834739685059,1.141501545906067,0.17312262952327728
6,10.045698165893555,1.0696306228637695,0.10409292578697205
7,9.973246574401855,1.1178315877914429,0.11587225645780563
8,10.071399688720703,1.0524535179138184,0.14445260167121887
9,9.998130798339844,1.101456642150879,0.39231279492378235
10,9.963481903076172,1.1250824928283691,0.232977956533432
11,10.004168510437012,1.0974549055099487,0.22660596668720245
12,10.05479621887207,1.0631691217422485,0.09061373770236969
13,10.00387191772461,1.0971648693084717,0.09815897047519684
14,10.016318321228027,1.0892958641052246,0.11922170221805573
15,9.98863410949707,1.1076490879058838,0.13444800674915314
16,9.346214294433594,1.534342646598816,4.153041839599609
17,9.978839874267578,1.1140457391738892,0.1082681193947792
18,9.752555847167969,1.2638276815414429,1.3151843547821045
19,10.011085510253906,1.0932337045669556,0.10319948196411133
20,10.044878959655762,1.0697963237762451,0.09468425810337067
21,9.946036338806152,1.1362379789352417,0.25131022930145264
22,10.047130584716797,1.069045066833496,0.10882651805877686
23,9.92385482788086,1.1509206295013428,0.13316713273525238
24,9.984053611755371,1.1102244853973389,0.08514437079429626
