Parameter,Mean,Std,True,Abs Error,Rel Error (%),CI90 Coverage,CI95 Coverage,ECE
g,9.950849571228026,0.1435322269551541,9.81,0.140849571228026,1.4357754457495004,1.0,1.0,0.42
L,1.1327316427230836,0.09531519244418205,1.0,0.13273164272308358,13.273164272308357,0.0,0.0,0.5
c,0.43404212802648545,0.8772868789041905,0.05,0.38404212802648546,768.0842560529709,0.0,0.0,0.5
